,Ticker,Current Price,Intrinsic Value (FCF),Safety Margin (FCF),Historic EPS Growth,Average PE,5 Year Price (EPS),10 Year Price (EPS)
0,CASY,228.82000732421875,-285.31603032411493,-224.69015872368456,12.961,20.440499999999997,341.97,629.16
1,CMG,2067.6201171875,813.876428571428,-60.6370424718777,11.833999999999989,80.06125000000002,4486.63,7848.4
2,CNI,119.2699966430664,118.24116279069762,-0.8626091065028978,7.521,18.727249999999998,153.75,220.98
3,COST,503.2200012207031,212.420224719101,-57.787801716184696,10.993999999999993,29.983000000000004,663.22,1117.47
4,CSX,30.639999389648438,47.06398879028489,53.603099633824435,12.322999999999995,16.4305,57.18,102.2
5,DIS,102.5,-11.493798465444375,-111.21346191750669,-6.5320000000000045,33.034749999999995,40.3,28.74
6,FHI,41.38999938964844,100.33325581395344,142.40941602682557,5.509000000000008,11.263250000000001,38.97,50.91
7,GOOG,108.22000122070312,115.35454933788972,6.592633558224092,17.107000000000006,29.37057142857143,294.88,649.68
8,GXO,53.130001068115234,-40.330666531650024,-175.90940282486378,33.86800000000001,25.0275,180.2,774.6
9,HAS,59.220001220703125,-28.34583351022137,-147.8653038262886,-3.885000000000005,27.25625,32.71,26.98
10,IBKR,77.8499984741211,1042.3069306930688,1238.8657047174543,17.779999999999994,33.85949999999999,288.48,653.15
11,KDP,32.70000076293945,50.10776766969907,53.2347599407053,-11.836999999999998,24.464749999999995,13.21,7.09
12,KMI,17.149999618530273,34.25819309123115,99.75623238041226,-0.26399999999999757,83.70124999999997,93.75,93.75
13,KO,64.1500015258789,43.86822797174459,-31.616170026048092,1.4310000000000045,31.785500000000003,74.38,79.46
14,LUV,30.290000915527344,-4.138814247134281,-113.66396210642775,-1.8630000000000035,16.737499999999997,13.06,12.22
15,MA,380.0299987792969,280.78887744593186,-26.114023011904248,14.84700000000001,35.23624999999999,719.52,1437.29
16,MCD,295.75,167.33703320528048,-43.419430868882344,4.143999999999992,23.023000000000003,235.06,288.02
17,MDLZ,76.72000122070312,-53.04501835430828,-169.14105514898498,-1.1029999999999984,21.848249999999997,40.64,38.45
18,META,240.32000732421875,192.7472242783123,-19.79559820074631,30.492000000000008,43.9365,1428.38,5403.75
19,MKC,87.8499984741211,26.101183498726378,-70.28891980411898,5.610000000000004,25.67875,85.25,112.22
20,MSFT,307.260009765625,233.29217506631284,-24.07336859610664,14.101000000000008,28.73775,536.25,1037.15
21,NFLX,329.92999267578125,96.89647450110857,-70.63120157241124,43.974000000000004,140.099,8624.49,53349.7
22,NKE,126.72000122070312,74.2458100558659,-41.40955702284522,10.756999999999994,35.2105,220.07,366.19
23,NVDA,277.489990234375,41.011567610690044,-85.22052360301335,24.79,46.86949999999999,247.0,748.04
24,PG,156.3800048828125,104.7449716050414,-33.01894850077872,4.174000000000011,25.49225,181.5,222.8
25,ROL,42.25,24.689634146341447,-41.56299610333385,11.612,47.01400000000001,61.59,106.72
26,SBUX,114.29000091552734,59.54443485763584,-47.90057364541836,75.86500000000001,35.861000000000004,1709.14,28752.99
27,SHW,237.5399932861328,131.4343511450381,-44.66853798942537,12.3,28.732,396.5,708.24
28,TTWO,124.29000091552734,-16.836214842022272,-113.54591255773252,-226.54399999999998,62.47925,-724.76,-2352.34
29,TXRH,110.62000274658203,111.470294117647,0.768659690791087,13.389000000000006,30.907999999999998,229.65,430.24
30,UA,8.039999961853027,34.33893390191898,327.1011699607605,9.177999999999997,197.3556,234.85,365.11
31,UNH,492.0899963378906,665.1663157894733,35.17168012753928,14.43399999999999,19.521749999999994,811.32,1592.0
32,V,232.72999572753906,201.8958594730237,-13.248887904683073,13.789999999999992,32.24000000000001,384.95,734.43
33,WFC,39.75,-139.78144434136067,-451.65143230530987,-2.119000000000004,11.911500000000002,33.59,30.14
34,WSM,121.04000091552734,273.4082608695651,125.88256675607106,19.192000000000007,13.90825,545.9,1313.22
35,WSO,346.3800048828125,403.6349999999998,16.529532395080906,15.396999999999995,22.885250000000003,721.8,1477.01
